Id,primary,secondary,other_3,other_4,other_5,other_6
58,circle21,circle30,,,,
136,circle1,circle33,circle38,,,
428,circle10,circle21,circle30,,,
563,circle10,circle21,circle30,,,
1465,circle10,circle15,circle35,circle38,,
1577,circle35,circle38,,,,
1718,circle38,,,,,
1913,circle36,circle42,,,,
1914,circle1,,,,,
1915,circle15,circle36,circle41,,,
1917,circle20,,,,,
1918,circle20,,,,,
1919,circle1,,,,,
1920,circle38,,,,,
1921,circle1,,,,,
1922,circle15,circle41,,,,
1923,circle6,circle10,circle11,circle38,circle41,
1925,circle20,,,,,
1926,circle41,,,,,
1927,circle1,,,,,
1928,circle1,,,,,
1929,circle20,,,,,
1930,circle41,,,,,
1931,circle1,,,,,
1932,circle38,,,,,
1933,circle41,,,,,
1934,circle41,,,,,
1935,circle1,,,,,
1936,circle41,,,,,
1937,circle41,,,,,
1938,circle20,,,,,
1939,circle21,,,,,
1941,circle0,circle20,circle38,,,
1942,circle20,,,,,
1943,circle20,circle31,,,,
1944,circle41,,,,,
1945,circle38,circle40,,,,
1946,circle20,,,,,
1947,circle6,circle10,circle21,circle38,,
1948,circle38,,,,,
1949,circle15,circle41,,,,
1950,circle1,,,,,
1951,circle1,,,,,
1952,circle23,circle36,,,,
1953,circle20,,,,,
1954,circle1,circle38,,,,
1955,circle38,,,,,
1956,circle13,circle36,,,,
1957,circle31,,,,,
1958,circle31,,,,,
1959,circle5,circle21,circle26,circle29,,
1960,circle41,,,,,
1961,circle34,circle35,,,,
1962,circle20,,,,,
1963,circle20,,,,,
1964,circle11,circle41,,,,
1965,circle41,,,,,
1966,circle20,,,,,
1967,circle21,circle30,,,,
1968,circle1,,,,,
1969,circle20,,,,,
1970,circle21,circle37,,,,
1971,circle20,,,,,
1972,circle31,,,,,
1973,circle31,,,,,
1974,circle45,,,,,
1975,circle41,,,,,
1976,circle1,circle42,,,,
1977,circle36,,,,,
1978,circle41,,,,,
1979,circle20,,,,,
1980,circle31,,,,,
1981,circle21,,,,,
1983,circle20,,,,,
1984,circle20,circle44,,,,
1985,circle10,circle20,circle26,,,
1986,circle20,,,,,
1987,circle29,circle36,,,,
1988,circle27,,,,,
1989,circle20,,,,,
1990,circle41,,,,,
1991,circle1,,,,,
1992,circle27,,,,,
1993,circle20,,,,,
1994,circle38,,,,,
1995,circle1,,,,,
1996,circle15,circle41,,,,
1997,circle20,,,,,
1998,circle1,,,,,
1999,circle1,circle15,,,,
2000,circle1,,,,,
2001,circle1,,,,,
2002,circle21,,,,,
2003,circle21,circle37,,,,
2004,circle1,,,,,
2005,circle20,,,,,
2006,circle1,,,,,
2007,circle20,circle38,,,,
2008,circle41,,,,,
2009,circle1,,,,,
2010,circle36,circle38,,,,
2011,circle1,,,,,
2012,circle1,,,,,
2013,circle41,,,,,
2014,circle1,,,,,
2015,circle1,,,,,
2016,circle1,,,,,
2017,circle15,circle41,,,,
2018,circle1,,,,,
2019,circle20,,,,,
2020,circle1,circle20,,,,
2021,circle20,,,,,
2022,circle1,,,,,
2023,circle15,circle41,,,,
2024,circle1,,,,,
2025,circle1,,,,,
2026,circle5,circle36,,,,
2027,circle1,,,,,
2028,circle38,,,,,
2029,circle41,,,,,
2030,circle20,,,,,
2031,circle11,circle41,,,,
2032,circle38,circle40,,,,
2033,circle20,,,,,
2034,circle10,circle23,circle41,,,
2035,circle41,,,,,
2036,circle36,circle41,,,,
2037,circle20,,,,,
2038,circle11,circle38,circle41,,,
2039,circle38,,,,,
2040,circle20,,,,,
2041,circle15,circle41,,,,
2042,circle10,circle15,circle33,circle38,,
2043,circle20,,,,,
2045,circle20,,,,,
2046,circle3,circle20,,,,
2047,circle0,circle10,circle38,circle41,,
2048,circle20,,,,,
2049,circle41,,,,,
2051,circle36,circle41,,,,
2052,circle8,circle38,circle40,,,
2053,circle21,circle38,,,,
2054,circle21,circle38,circle40,,,
2055,circle20,,,,,
2056,circle20,,,,,
2057,circle29,circle36,,,,
2059,circle3,circle20,,,,
2060,circle20,,,,,
2061,circle31,,,,,
2062,circle15,circle21,circle26,,,
2063,circle20,,,,,
2064,circle20,,,,,
2065,circle36,,,,,
2066,circle36,,,,,
2067,circle20,circle36,,,,
2068,circle38,,,,,
2069,circle20,,,,,
2070,circle41,,,,,
2071,circle38,,,,,
2072,circle21,circle38,,,,
2073,circle20,circle44,,,,
2074,circle20,,,,,
2075,circle21,,,,,
2076,circle27,,,,,
2077,circle20,,,,,
2078,circle20,,,,,
2080,circle41,,,,,
2081,circle17,circle21,circle35,circle38,,
2082,circle36,circle41,,,,
2083,circle20,,,,,
2084,circle20,,,,,
2085,circle41,,,,,
2086,circle20,,,,,
2087,circle38,,,,,
2088,circle20,,,,,
2089,circle41,,,,,
2090,circle20,,,,,
2091,circle41,,,,,
2092,circle20,,,,,
2093,circle20,,,,,
2094,circle0,circle34,,,,
2095,circle20,,,,,
2096,circle10,circle15,circle21,,,
2097,circle1,,,,,
2098,circle12,circle20,,,,
2099,circle8,circle36,,,,
2100,circle16,circle36,,,,
2101,circle21,,,,,
2102,circle38,circle40,,,,
2103,circle20,,,,,
2104,circle20,,,,,
2105,circle41,,,,,
2106,circle24,circle25,circle41,,,
2108,circle3,circle20,,,,
2109,circle20,,,,,
2110,circle21,,,,,
2111,circle10,circle21,circle38,,,
2112,circle20,,,,,
2113,circle16,circle36,,,,
2114,circle15,circle23,circle41,,,
2115,circle20,,,,,
2116,circle1,,,,,
2117,circle38,circle41,,,,
2118,circle20,,,,,
2119,circle41,,,,,
2120,circle15,circle41,,,,
2121,circle20,circle31,,,,
2122,circle20,,,,,
2123,circle20,,,,,
2124,circle20,,,,,
2125,circle7,circle15,circle38,,,
2126,circle34,circle41,,,,
2127,circle38,,,,,
2128,circle33,circle35,circle36,,,
2129,circle36,circle41,,,,
2130,circle36,circle41,,,,
2131,circle20,,,,,
2132,circle21,,,,,
2133,circle11,circle38,circle41,,,
2134,circle6,circle10,circle14,circle38,circle43,
2135,circle38,,,,,
2136,circle20,,,,,
2137,circle12,circle36,,,,
2138,circle38,,,,,
2139,circle20,,,,,
2140,circle20,,,,,
2141,circle41,,,,,
2142,circle10,circle14,circle15,circle20,,
2143,circle1,circle33,circle38,,,
2144,circle40,,,,,
2145,circle41,,,,,
2146,circle41,,,,,
2147,circle20,,,,,
2148,circle38,,,,,
2149,circle35,circle38,,,,
2150,circle20,,,,,
2151,circle38,circle40,,,,
2152,circle41,,,,,
2153,circle5,circle38,,,,
2154,circle20,,,,,
2155,circle41,,,,,
2156,circle15,circle41,,,,
2157,circle1,,,,,
2158,circle41,,,,,
2159,circle1,,,,,
2160,circle41,,,,,
2161,circle21,,,,,
2162,circle41,,,,,
2163,circle7,circle38,,,,
2164,circle20,,,,,
2165,circle20,,,,,
2167,circle34,,,,,
2168,circle15,circle41,,,,
2169,circle36,circle38,,,,
2170,circle27,,,,,
2171,circle1,,,,,
2172,circle20,,,,,
2173,circle41,,,,,
2174,circle10,circle38,circle41,,,
2175,circle41,,,,,
2176,circle11,circle38,circle41,,,
2177,circle21,circle36,,,,
2178,circle41,,,,,
2179,circle20,,,,,
2181,circle41,,,,,
2182,circle17,circle41,,,,
2183,circle0,circle15,circle38,,,
2184,circle20,,,,,
2185,circle4,,,,,
2186,circle11,circle41,,,,
2187,circle38,,,,,
2188,circle20,,,,,
2189,circle20,circle38,,,,
2190,circle20,,,,,
2191,circle5,circle38,,,,
2192,circle1,,,,,
2193,circle41,,,,,
2194,circle38,,,,,
2196,circle38,,,,,
2197,circle41,,,,,
2199,circle21,circle38,,,,
2200,circle20,,,,,
2201,circle20,,,,,
2203,circle38,circle42,,,,
2204,circle10,circle15,circle41,,,
2206,circle20,,,,,
2208,circle45,,,,,
2209,circle11,circle38,circle41,,,
2210,circle20,,,,,
2211,circle11,circle41,,,,
2212,circle20,,,,,
2214,circle36,,,,,
2215,circle29,circle36,,,,
2216,circle20,,,,,
2217,circle4,circle16,,,,
2218,circle20,circle31,,,,
2219,circle4,,,,,
2220,circle20,,,,,
2221,circle15,circle21,,,,
2222,circle21,circle37,,,,
2223,circle38,,,,,
2224,circle7,circle15,circle38,,,
2225,circle31,,,,,
2227,circle36,circle41,,,,
2228,circle41,,,,,
2229,circle20,circle44,,,,
2230,circle8,circle18,circle36,,,
2231,circle15,circle41,,,,
2232,circle15,circle41,,,,
2233,circle20,,,,,
2234,circle20,,,,,
2235,circle21,,,,,
2236,circle41,,,,,
2237,circle20,,,,,
2238,circle41,,,,,
2240,circle20,,,,,
2241,circle10,circle26,circle38,circle40,,
2242,circle41,,,,,
2243,circle15,circle21,,,,
2244,circle20,circle44,,,,
2245,circle34,,,,,
2246,circle8,circle38,,,,
2247,circle8,circle38,,,,
2248,circle41,,,,,
2249,circle36,,,,,
2250,circle38,circle42,,,,
2251,circle36,circle41,,,,
2252,circle21,circle36,,,,
2253,circle20,,,,,
2254,circle4,circle38,,,,
2255,circle27,,,,,
2256,circle36,,,,,
2257,circle20,,,,,
2258,circle20,,,,,
2259,circle27,circle38,,,,
2260,circle23,circle41,,,,
2261,circle20,,,,,
2262,circle20,,,,,
2263,circle36,,,,,
2265,circle36,,,,,
