problem,algorithm,heuristic,time,nodes_generated,nodes_expanded,depth,cost,branching_factor,efficiency,depth_ratio
easy,ids,None,1.0673,490546,490545,,,,,
easy,bfts,None,7e-05,19,16,10,12,1.1875,228571.42857142858,0.8333333333333334
easy,ucs,None,9e-05,20,17,10,12,1.1764705882352942,188888.88888888888,0.8333333333333334
easy,dls,None,0.00025,112,109,10,12,1.0275229357798166,436000.0,0.8333333333333334
easy,astar,h1,8e-05,19,16,10,12,1.1875,199999.99999999997,0.8333333333333334
easy,astar,h2,0.0001,18,15,10,12,1.2,150000.0,0.8333333333333334
easy,astar,h3,0.0001,19,16,10,12,1.1875,160000.0,0.8333333333333334
easy,astar,h4,8e-05,19,16,10,12,1.1875,199999.99999999997,0.8333333333333334
easy,astar,h_max,0.00012,19,16,10,12,1.1875,133333.33333333334,0.8333333333333334
medium,ids,None,1.0847,490546,490545,,,,,
medium,bfts,None,0.00018,58,48,16,20,1.2083333333333333,266666.6666666666,0.8
medium,ucs,None,0.00024,67,56,16,20,1.1964285714285714,233333.3333333333,0.8
medium,dls,None,0.00027,120,115,16,20,1.0434782608695652,425925.9259259259,0.8
medium,astar,h1,0.00023,52,44,16,20,1.1818181818181819,191304.34782608695,0.8
medium,astar,h2,0.00021,45,38,16,20,1.1842105263157894,180952.38095238095,0.8
medium,astar,h3,0.0003,56,46,16,20,1.2173913043478262,153333.33333333334,0.8
medium,astar,h4,0.00021,45,38,16,20,1.1842105263157894,180952.38095238095,0.8
medium,astar,h_max,0.00032,46,39,16,20,1.1794871794871795,121874.99999999999,0.8
hard,ids,None,1.11006,490546,490545,,,,,
hard,bfts,None,0.00065,177,142,17,23,1.2464788732394365,218461.53846153847,0.7391304347826086
hard,ucs,None,0.00136,226,182,17,23,1.2417582417582418,133823.5294117647,0.7391304347826086
hard,dls,None,0.00021,26,19,19,25,1.368421052631579,90476.19047619047,0.76
hard,astar,h1,0.00112,136,111,17,23,1.2252252252252251,99107.14285714287,0.7391304347826086
hard,astar,h2,0.00055,95,73,17,23,1.3013698630136987,132727.2727272727,0.7391304347826086
hard,astar,h3,0.00123,173,135,17,23,1.2814814814814814,109756.09756097561,0.7391304347826086
hard,astar,h4,0.00098,163,133,19,25,1.2255639097744362,135714.2857142857,0.76
hard,astar,h_max,0.00263,161,130,17,23,1.2384615384615385,49429.65779467681,0.7391304347826086
hard_HD,ids,None,1.10994,490546,490545,,,,,
hard_HD,bfts,None,0.00061,165,134,17,23,1.2313432835820894,219672.131147541,0.7391304347826086
hard_HD,ucs,None,0.00115,207,168,17,23,1.2321428571428572,146086.95652173914,0.7391304347826086
hard_HD,dls,None,7e-05,26,19,19,25,1.368421052631579,271428.5714285715,0.76
hard_HD,astar,h1,0.00099,127,105,17,23,1.2095238095238094,106060.60606060606,0.7391304347826086
hard_HD,astar,h2,0.00054,92,71,17,23,1.295774647887324,131481.4814814815,0.7391304347826086
hard_HD,astar,h3,0.00147,193,156,19,25,1.2371794871794872,106122.44897959183,0.76
hard_HD,astar,h4,0.0007,123,101,19,25,1.2178217821782178,144285.7142857143,0.76
hard_HD,astar,h_max,0.00127,136,111,19,25,1.2252252252252251,87401.5748031496,0.76
